academic_year,semester,school,jae_course_code,course_name,gender,intake
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C55,CHEMICAL & GREEN TECHNOLOGY,F,17
2016,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C59,INTERACTION DESIGN,M,32
2016,S1,SCHOOL OF ENGINEERING,C41,ENGINEERING WITH BUSINESS,F,28
2016,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C74,MOLECULAR BIOTECHNOLOGY,F,36
2016,S1,SCHOOL OF ENGINEERING,C52,AEROSPACE SYSTEMS & MANAGEMENT,M,29
2016,S1,SCHOOL OF ENGINEERING,C51,AERONAUTICAL & AEROSPACE TECHNOLOGY,F,1
2017,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C61,ANIMATION,M,31
2017,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C60,DIGITAL GAME ART & DESIGN,F,38
2017,S1,SCHOOL OF INFORMATION TECHNOLOGY,C85,INFORMATION TECHNOLOGY,M,97
2017,S1,SCHOOL OF BUSINESS MANAGEMENT,C46,FOOD & BEVERAGE BUSINESS,M,27
2017,S1,SCHOOL OF BUSINESS MANAGEMENT,C93,MASS MEDIA MANAGEMENT,M,15
2017,S1,SCHOOL OF ENGINEERING,C71,BIOMEDICAL ENGINEERING,F,24
2017,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C49,BIOLOGICS & PROCESS TECHNOLOGY,M,21
2017,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C49,BIOLOGICS & PROCESS TECHNOLOGY,F,23
2017,S1,SCHOOL OF ENGINEERING,C53,TELEMATICS & MEDIA TECHNOLOGY,F,8
2017,S1,SCHOOL OF ENGINEERING,C39,AEROSPACE / ELECTRICAL / ELECTRONICS PROGRAMME,F,15
2018,S1,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,C60,DIGITAL GAME ART & DESIGN,M,38
2018,S1,SCHOOL OF ENGINEERING,C39,AEROSPACE/ ELECTRICAL/ ELECTRONICS PROGRAMME,M,76
2018,S1,SCHOOL OF DESIGN,C64,SPATIAL DESIGN,F,51
2018,S1,SCHOOL OF ENGINEERING,C41,ENGINEERING WITH BUSINESS,F,37
2018,S1,SCHOOL OF HEALTH & SOCIAL SCIENCES,C47,SOCIAL SCIENCES (SOCIAL WORK),M,14
2018,S1,SCHOOL OF INFORMATION TECHNOLOGY,C80,INFOCOMM AND SECURITY,F,27
2018,S1,SCHOOL OF INFORMATION TECHNOLOGY,C43,BUSINESS INTELLIGENCE & ANALYTICS,M,20
2018,S1,SCHOOL OF CHEMICAL & LIFE SCIENCES,C45,MEDICINAL CHEMISTRY,M,21
